#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2023-03-07 03:54:06
#Fields: date time cs-method cs-uri-stem cs-uri-query c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-bytes cs-bytes time-taken
2023-03-07 03:54:06 GET / - 120.92.72.197 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/46.0.2486.0+Safari/537.36+Edge/13.10586 - ftp6562477.host122.sanfengyun.cn 200 8632 278 279
2023-03-07 03:54:12 GET /index.html - 64.32.22.138 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Trident/7.0;+rv+11.0)+like+Gecko - www.zzhxzx.cn 200 13279 204 374
2023-03-07 03:54:16 GET / - 64.32.22.138 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Trident/7.0;+rv+11.0)+like+Gecko http://www.zzhxzx.cn/index.html www.zzhxzx.cn 200 3839 337 187
#Software: Microsoft Internet Information Services 8.5
#Version: 1.0
#Date: 2023-03-07 19:32:54
#Fields: date time cs-method cs-uri-stem cs-uri-query c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-bytes cs-bytes time-taken
2023-03-07 19:32:54 GET / - 64.32.22.138 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+os+15_4+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/15.4+Mobile/11D257+Safari/604.1 - zzhxzx.cn 200 4015 474 234
2023-03-07 19:32:54 GET / - 64.32.22.138 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+os+15_4+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/15.4+Mobile/11D257+Safari/604.1 - www.zzhxzx.cn 200 13279 478 437
2023-03-07 19:32:54 GET / - 64.32.22.138 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 - zzhxzx.cn 200 4015 454 156
2023-03-07 19:32:56 GET /css/css.css - 220.196.160.151 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://zzhxzx.cn/ ftp6562477.host122.sanfengyun.cn 200 6326 369 78
2023-03-07 19:32:56 GET /css/style.css - 220.196.160.151 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://zzhxzx.cn/ ftp6562477.host122.sanfengyun.cn 200 3796 371 31
2023-03-07 19:32:56 GET /img/zixun.jpg - 220.196.160.151 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://ftp6562477.host122.sanfengyun.cn/css/style.css ftp6562477.host122.sanfengyun.cn 200 8809 453 31
2023-03-07 19:32:56 GET /img/banner2.jpg - 220.196.160.101 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://zzhxzx.cn/ ftp6562477.host122.sanfengyun.cn 200 63974 419 125
2023-03-07 19:32:56 GET /css/img/zixun.jpg - 220.196.160.95 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://ftp6562477.host122.sanfengyun.cn/css/style.css ftp6562477.host122.sanfengyun.cn 404 5007 457 31
2023-03-07 19:32:56 GET /img/logo.jpg - 220.196.160.45 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://zzhxzx.cn/ ftp6562477.host122.sanfengyun.cn 200 145849 416 171
2023-03-07 19:32:56 GET /img/js_bj.jpg - 220.196.160.151 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://ftp6562477.host122.sanfengyun.cn/css/css.css ftp6562477.host122.sanfengyun.cn 200 25384 451 62
2023-03-07 19:32:56 GET /img/nav.jpg - 220.196.160.84 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://ftp6562477.host122.sanfengyun.cn/css/style.css ftp6562477.host122.sanfengyun.cn 200 6391 451 78
2023-03-07 19:32:56 GET /img/footer.jpg - 220.196.160.101 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://ftp6562477.host122.sanfengyun.cn/css/style.css ftp6562477.host122.sanfengyun.cn 200 4186 454 31
2023-03-07 19:32:56 GET /img/xiao.jpg - 220.196.160.117 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+13_7+like+Mac+OS+X)+AppleWebKit/605.1.15+(KHTML,+like+Gecko)+Version/13.1+Mobile/15E148+Safari/604.1 http://ftp6562477.host122.sanfengyun.cn/css/css.css ftp6562477.host122.sanfengyun.cn 200 4472 450 31
